Thu 27 Apr 18:01:41 BST 2017
PING 186.1.192.114 (186.1.192.114) 56(84) bytes of data.
64 bytes from 186.1.192.114: icmp_seq=66 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=67 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=68 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=69 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=70 ttl=238 time=143 ms
64 bytes from 186.1.192.114: icmp_seq=71 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=72 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=73 ttl=238 time=143 ms
64 bytes from 186.1.192.114: icmp_seq=74 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=75 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=76 ttl=238 time=143 ms
64 bytes from 186.1.192.114: icmp_seq=77 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=78 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=79 ttl=238 time=139 ms
64 bytes from 186.1.192.114: icmp_seq=80 ttl=238 time=143 ms
64 bytes from 186.1.192.114: icmp_seq=81 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=82 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=83 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=84 ttl=238 time=138 ms
64 bytes from 186.1.192.114: icmp_seq=85 ttl=238 time=144 ms
64 bytes from 186.1.192.114: icmp_seq=86 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=87 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=88 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=89 ttl=238 time=138 ms
64 bytes from 186.1.192.114: icmp_seq=90 ttl=238 time=143 ms
64 bytes from 186.1.192.114: icmp_seq=91 ttl=238 time=143 ms
64 bytes from 186.1.192.114: icmp_seq=92 ttl=238 time=147 ms
64 bytes from 186.1.192.114: icmp_seq=93 ttl=238 time=141 ms
64 bytes from 186.1.192.114: icmp_seq=94 ttl=238 time=140 ms
64 bytes from 186.1.192.114: icmp_seq=95 ttl=238 time=142 ms
64 bytes from 186.1.192.114: icmp_seq=96 ttl=238 time=198 ms
